simple_rank,composite_rank,http_method,route,fqcn,method,parameters,loc,revisions,simple_score,recency_decay,cognitive_complexity,coverage_multiplier,composite_score
2,1,POST,/api/orders,io.graphrag.sample.orders.OrderController,create,CreateOrderRequest,57,10,570,4.5900,19,1,87.2107
3,2,POST,/api/bookings,io.graphrag.sample.orders.BookingController,create,CreateBookingRequest,55,9,495,3.0633,14,1,42.8862
1,3,POST,/events,io.graphrag.dashboard.DashboardController,receive,TestEvent,74,12,888,2.4610,13,1,31.9931
9,4,POST,/api/promo,io.graphrag.sample.orders.PromoController,evaluate,PromoRequest,30,5,150,1.6824,12,1,20.1885
11,5,POST,/web/nested,io.graphrag.sample.orders.NestedFormController,submit,NestedForm,17,4,68,2.6918,5,1,13.4590
6,6,POST,/api/bookings/{id}/advance,io.graphrag.sample.orders.BookingController,advance,Long,43,7,301,2.3553,5,1,11.7766
5,7,GET,/api/bookings/{id},io.graphrag.sample.orders.BookingController,get,Long;boolean,38,8,304,2.6918,4,1,10.7672
10,8,PUT,/api/bookings/{id},io.graphrag.sample.orders.BookingController,update,Long;UpdateBookingRequest,27,3,81,1.0094,10,1,10.0943
4,9,GET,/api/bookings/{id}/premium-eligible,io.graphrag.sample.orders.BookingController,premiumEligible,Long,34,10,340,4.4529,2,1,8.9058
8,10,POST,/__admin/expectations,io.graphrag.socketmock.AdminController,register,ExpectationRequest,34,5,170,1.0254,8,1,8.2034
7,11,GET,/api/bookings/{id}/eligibility,io.graphrag.sample.orders.BookingController,eligibility,Long;int,37,8,296,2.7268,3,1,8.1805
12,12,POST,/web/editor,io.graphrag.sample.orders.EditorFormController,submit,EditorForm,14,3,42,2.0189,4,1,8.0754
13,13,POST,/web/idref,io.graphrag.sample.orders.IdRefFormController,submit,IdRefForm,14,3,42,2.0189,4,1,8.0754
14,14,POST,/web/ref,io.graphrag.sample.orders.RefFormController,submit,RefForm,14,3,42,2.0189,4,1,8.0754
26,15,POST,/api/tags,io.graphrag.sample.orders.CollectionsController,tags,List<String>,12,1,12,0.7430,6,1,4.4580
19,16,POST,/api/orders/ship,io.graphrag.sample.orders.ShipController,ship,ShipRequest,11,2,22,1.4159,3,1,4.2478
27,17,POST,/api/deep,io.graphrag.sample.orders.DeepNestedController,deep,Root,11,1,11,0.7430,5,1,3.7150
20,18,GET,/items/{id}/price,io.graphrag.sample.envelope.ItemController,getItemPrice,Long,11,2,22,1.8114,2,1,3.6229
15,19,DELETE,/api/bookings/{id},io.graphrag.sample.orders.BookingController,delete,Long;boolean,20,2,40,0.6730,5,1,3.3648
25,20,POST,/api/profiles-map,io.graphrag.sample.orders.CollectionsController,profilesMap,"Map<String,ProfileDto>",12,1,12,0.7430,4,1,2.9720
21,21,POST,/web/orders,io.graphrag.sample.orders.OrderWebController,submit,OrderForm,11,2,22,0.7430,3,1,2.2290
18,22,POST,/web/users/{userId}/submit,io.graphrag.sample.orders.UserOrderWebController,submit,OrderForm,12,2,24,0.7430,3,1,2.2290
30,23,POST,/api/prefs,io.graphrag.sample.orders.CollectionsController,prefs,"Map<String,String>",7,1,7,0.7430,2,1,1.4860
24,24,POST,/api/pricing,io.graphrag.sample.orders.PricingController,quote,QuoteRequest,14,1,14,0.6730,2,1,1.3459
17,25,POST,/api/orders/search,io.graphrag.sample.orders.OrderSearchController,search,SearchRequest,12,2,24,0.4102,3,1,1.2305
16,26,POST,/api/auth/login,io.graphrag.sample.orders.auth.AuthController,login,LoginRequest,17,2,34,0.6095,2,1,1.2190
29,27,POST,/api/coupons,io.graphrag.sample.orders.CouponController,redeem,RedeemRequest,7,1,7,0.8203,1,1,0.8203
23,28,POST,/api/orders/by-ids,io.graphrag.sample.orders.OrderBatchController,byIds,List<String>,9,2,18,0.7576,1,1,0.7576
28,29,DELETE,/__admin/expectations,io.graphrag.socketmock.AdminController,clear,,7,1,7,0.2051,0,1,0
22,30,GET,/active,io.graphrag.dashboard.DashboardController,active,,10,2,20,0.4102,0,1,0
