simple_rank,composite_rank,path,loc,revisions,simple_score,recency_decay,cognitive_complexity,coverage_multiplier,composite_score
1,1,graph-rag-builder/src/main/java/io/graphrag/builder/run/EndpointExplorationRunner.java,3097,110,340670,68.9115,626,2.0933,90301.1010
4,2,test-generator/src/main/java/io/graphrag/generator/Generator.java,731,36,26316,16.9380,148,10,25068.3074
2,3,graph-rag-builder/src/main/java/io/graphrag/builder/cli/BuilderCli.java,1324,89,117836,49.7203,185,2.6775,24628.4761
6,4,test-generator/src/main/java/io/graphrag/generator/compose/FixtureComposer.java,560,21,11760,8.2184,129,10,10601.6767
3,5,graph-rag-builder/src/main/java/io/graphrag/builder/index/ConstraintExtractor.java,1133,24,27192,15.5152,343,1.0025,5334.9438
5,6,graph-rag-builder/src/main/java/io/graphrag/builder/run/ReadInputSynthesizer.java,931,26,24206,13.5141,297,1.0965,4400.8986
9,7,graph-rag-builder/src/main/java/io/graphrag/builder/oracle/ConcolicOracle.java,755,7,5285,3.0983,172,8.1707,4354.2766
7,8,graph-rag-builder/src/main/java/io/graphrag/builder/index/EndpointIndexer.java,540,16,8640,8.6206,166,0.9576,1370.3904
13,9,graph-rag-builder/src/main/java/io/graphrag/builder/run/KafkaCaptureRunner.java,266,8,2128,3.7153,41,8.1707,1244.6188
25,10,samples/order-service/src/main/java/io/graphrag/sample/orders/BookingController.java,189,5,945,2.8055,43,10,1206.3784
22,11,testlib/src/main/java/io/graphrag/testlib/api/KafkaHelper.java,194,6,1164,2.8715,37,10,1062.4545
26,12,samples/order-service/src/main/java/io/graphrag/sample/orders/OrderController.java,103,7,721,3.9534,19,10,751.1534
18,13,graph-rag-builder/src/main/java/io/graphrag/builder/run/KafkaCaptureReceiver.java,339,5,1695,2.9578,79,2.8571,667.6106
8,14,graph-rag-builder/src/main/java/io/graphrag/builder/explore/InputMutator.java,415,13,5395,5.3419,108,1.0009,577.4352
24,15,graph-rag-builder/src/main/java/io/graphrag/builder/run/WsCaptureRunner.java,150,7,1050,2.9406,17,10,499.8954
15,16,graph-rag-builder/src/main/java/io/graphrag/builder/index/RouterFunctionIndexer.java,203,9,1827,5.6191,86,0.9990,482.7605
11,17,graph-rag-builder/src/main/java/io/graphrag/builder/env/HttpCaptureServer.java,286,8,2288,5.2639,51,1.2247,328.7803
23,18,graph-rag-builder/src/main/java/io/graphrag/oracle/ReflectiveBodyInstantiator.java,365,3,1095,2.2290,79,1.7404,306.4699
16,19,graph-rag-builder/src/main/java/io/graphrag/builder/env/SutProcess.java,200,9,1800,2.9683,22,3.9815,259.9974
28,20,graph-rag-builder/src/main/java/io/graphrag/builder/coverage/BranchCoverageAnalyzer.java,100,3,300,0.8780,29,10,254.6298
14,21,graph-rag-builder/src/main/java/io/graphrag/builder/index/BodyShapeExtractor.java,277,7,1939,4.3943,55,0.9513,229.9095
27,22,testlib/src/main/java/io/graphrag/testlib/api/JdbcHelper.java,146,3,438,1.1286,20,10,225.7254
12,23,graph-rag-builder/src/main/java/io/graphrag/builder/run/SampleInputSynthesizer.java,169,13,2197,6.6318,31,1.0667,219.2931
19,24,graph-rag-builder/src/main/java/io/graphrag/builder/env/AttachedComposeEnvironment.java,185,8,1480,4.6229,16,2.6282,194.3986
10,25,graph-rag-builder/src/main/java/io/graphrag/builder/env/AnalysisEnvironment.java,253,17,4301,7.9410,10,2.2892,181.7810
30,26,samples/order-service/src/main/java/io/graphrag/sample/orders/CollectionsController.java,52,2,104,1.4860,12,10,178.3193
20,27,testlib/src/main/java/io/graphrag/testlib/api/TestScope.java,165,8,1320,2.8391,6,10,170.3463
21,28,graph-rag-builder/src/main/java/io/graphrag/builder/index/GatewayRouteIndexer.java,234,5,1170,3.1810,53,0.9804,165.2885
29,29,samples/order-service/src/main/java/io/graphrag/sample/orders/PromoController.java,49,4,196,1.3459,9,10,121.1310
17,30,graph-rag-builder/src/main/java/io/graphrag/builder/capture/otlp/OtlpTraceReceiver.java,252,7,1764,3.6229,28,1.1368,115.3183
