simple_rank,composite_rank,fqcn,method,parameters,file,start_line,end_line,loc,revisions,simple_score,recency_decay,cognitive_complexity,coverage_multiplier,composite_score
1,1,io.graphrag.builder.run.EndpointExplorationRunner,run,"Endpoint;BodyShape;List<TableSchema>;List<ConstraintExtractor.ConditionSpan>;List<ConstraintExtractor.Comparison>;InputCandidates;Map<String,List<FieldConstraint>>;List<ConstraintExtractor.Conjunction>;List<ConstraintExtractor.JoinGuard>;List<ConstraintExtractor.StateGuard>;List<ConstraintExtractor.StateGuardConjunction>;boolean;Map<String,BodyShape>;List<FormFieldBinding>",graph-rag-builder/src/main/java/io/graphrag/builder/run/EndpointExplorationRunner.java,368,687,320,32,10240,18.2291,74,10,13489.5461
2,2,io.graphrag.builder.cli.BuilderCli,explore,"ExplorationEnvironment;BuildConfig;IndexResult;io.graphrag.builder.index.WsIndexResult;io.graphrag.builder.index.KafkaIndexResult;List<MapperStatement>;List<Set<String>>;IncrementalPlan;Map<String,List<String>>;List<io.graphrag.builder.index.ExternalCallSite>;Map<String,Map<String,List<String>>>;ExplorationAccumulators;CoverageProbe",graph-rag-builder/src/main/java/io/graphrag/builder/cli/BuilderCli.java,668,1027,360,20,7200,16.3157,48,10,7831.5285
3,3,io.graphrag.builder.cli.BuilderCli,main,String[],graph-rag-builder/src/main/java/io/graphrag/builder/cli/BuilderCli.java,98,213,116,50,5800,22.6938,16,10,3631.0125
10,4,io.graphrag.builder.run.EndpointExplorationRunner,runResponseVariantLoops,Endpoint;JsonNode;ExplorationOutcome,graph-rag-builder/src/main/java/io/graphrag/builder/run/EndpointExplorationRunner.java,2033,2141,109,11,1199,10.0572,23,10,2313.1644
7,5,io.graphrag.generator.Generator,buildScenarioMethod,Endpoint;GenerationRequest;ExploredPath,test-generator/src/main/java/io/graphrag/generator/Generator.java,145,225,81,18,1458,8.3562,20,10,1671.2333
15,6,io.graphrag.builder.run.EndpointExplorationRunner,attachSeeds,Endpoint;boolean;List<ExploredPath>;List<RequiredSeed>,graph-rag-builder/src/main/java/io/graphrag/builder/run/EndpointExplorationRunner.java,1543,1608,66,6,396,5.5375,28,10,1550.5018
5,7,io.graphrag.builder.run.ReadInputSynthesizer,synthesizeVariants,Endpoint;List<TableSchema>;List<ConstraintExtractor.StateGuard>;List<ConstraintExtractor.StateGuardConjunction>,graph-rag-builder/src/main/java/io/graphrag/builder/run/ReadInputSynthesizer.java,170,401,232,19,4408,9.5779,119,1.0133,1154.8956
11,8,io.graphrag.generator.Generator,generate,GenerationRequest,test-generator/src/main/java/io/graphrag/generator/Generator.java,58,120,63,12,756,5.0773,19,10,964.6842
6,9,io.graphrag.builder.cli.BuilderCli,runAttached,"BuildConfig;PjacocoAgent;OtelAgent;Path;Map<String,String>;IndexResult;io.graphrag.builder.index.WsIndexResult;io.graphrag.builder.index.KafkaIndexResult;List<MapperStatement>;List<Set<String>>;IncrementalPlan;Map<String,List<String>>;List<io.graphrag.builder.index.ExternalCallSite>;Map<String,Map<String,List<String>>>;ExplorationAccumulators",graph-rag-builder/src/main/java/io/graphrag/builder/cli/BuilderCli.java,471,600,130,13,1690,9.6464,10,10,964.6395
13,10,io.graphrag.generator.compose.FixtureComposer,assertionsFromResponse,"ExploredPath;List<CapturedSql>;Map<String,String>;String;String;String",test-generator/src/main/java/io/graphrag/generator/compose/FixtureComposer.java,249,312,64,9,576,4.6210,20,10,924.1910
