simple_rank,composite_rank,fqcn,method,parameters,loc,revisions,simple_score,recency_decay,cognitive_complexity,coverage_multiplier,composite_score,calling_apis
1,1,io.graphrag.dashboard.TestRun,getStatus,,3,1,3,0.2051,0,10,0,POST /events;GET /leaked;GET /active
2,2,io.graphrag.sample.orders.Address,getCity,,3,1,3,0.6730,0,10,0,POST /web/nested;POST /api/orders/ship
3,3,io.graphrag.sample.orders.Booking,getCheckInDate,,3,1,3,0.3365,0,10,0,GET /api/bookings/{id}/premium-eligible;GET /api/bookings/{id};POST /api/bookings;POST /api/bookings/{id}/advance;GET /api/bookings/{id}/eligibility
4,4,io.graphrag.sample.orders.Booking,getCustomerEmail,,3,1,3,0.3365,0,10,0,GET /api/bookings/{id}/premium-eligible;GET /api/bookings/{id};POST /api/bookings;POST /api/bookings/{id}/advance;GET /api/bookings/{id}/eligibility
5,5,io.graphrag.sample.orders.Booking,getId,,3,1,3,0.3365,0,10,0,GET /api/bookings/{id}/premium-eligible;GET /api/bookings/{id};POST /api/bookings;POST /api/bookings/{id}/advance;GET /api/bookings/{id}/eligibility
6,6,io.graphrag.sample.orders.Booking,getLoyaltyPoints,,3,1,3,0.3365,0,10,0,GET /api/bookings/{id}/premium-eligible;GET /api/bookings/{id};POST /api/bookings;POST /api/bookings/{id}/advance;GET /api/bookings/{id}/eligibility
7,7,io.graphrag.sample.orders.Booking,getNights,,3,1,3,0.3365,0,10,0,GET /api/bookings/{id}/premium-eligible;GET /api/bookings/{id};POST /api/bookings;POST /api/bookings/{id}/advance;GET /api/bookings/{id}/eligibility
8,8,io.graphrag.sample.orders.Booking,getStatus,,3,1,3,0.3365,0,10,0,GET /api/bookings/{id}/premium-eligible;GET /api/bookings/{id};POST /api/bookings;DELETE /api/bookings/{id};POST /api/bookings/{id}/advance;GET /api/bookings/{id}/eligibility
9,9,io.graphrag.sample.orders.Booking,getTier,,3,1,3,0.3365,0,10,0,GET /api/bookings/{id}/premium-eligible;GET /api/bookings/{id};POST /api/bookings;POST /api/bookings/{id}/advance;GET /api/bookings/{id}/eligibility
12,10,io.graphrag.sample.orders.BookingController,toResponse,Booking,4,0,0,0,0,10,0,GET /api/bookings/{id}/premium-eligible;GET /api/bookings/{id};POST /api/bookings;POST /api/bookings/{id}/advance;GET /api/bookings/{id}/eligibility
11,11,io.graphrag.sample.orders.OrderRepository,findByUser_Id,String,1,1,1,0.3048,0,10,0,GET /api/orders;POST /api/orders/by-ids
10,12,io.graphrag.sample.orders.User,getId,,3,1,3,0.2051,0,10,0,POST /api/orders;GET /api/profiles/by-name/{name}
